StoryID	WROSID	Epic	Summary	Phase	Assignee	Status
S-114	HRMS-P608	Interview Decision Engine & Compliance Rules	L1 Pass + L2 Fail Auto-Reject Rule	2	BE	Planned
S-116	HRMS-P610	Interview Decision Engine & Compliance Rules	Interview Decision Audit Log	2	BE	Planned
S-119	HRMS-P301	Proactive AI Nurture & Candidate Relationship Engine	Career Goal Conversation Engine	2	BE	Planned
S-120	HRMS-P302	Proactive AI Nurture & Candidate Relationship Engine	Personalized Value Messaging Engine	2	BE	Planned
S-122	HRMS-P304	Proactive AI Nurture & Candidate Relationship Engine	Passive Candidate Nurture Campaign	2	BE	Planned
S-123	HRMS-P305	Proactive AI Nurture & Candidate Relationship Engine	Candidate Interest Signal Detection	2	BE	Planned
S-126	HRMS-P308	Proactive AI Nurture & Candidate Relationship Engine	Candidate Re-Engagement on Market Signal	2	BE	Planned
S-127	HRMS-P309	Proactive AI Nurture & Candidate Relationship Engine	WhatsApp Broadcast Compliance Engine	2	BE	Planned
S-128	HRMS-P401	LinkedIn Autonomous Sourcing Pipeline	LinkedIn Keyword Search Agent — Nightly Run	2	BE	Planned
S-129	HRMS-P402	LinkedIn Autonomous Sourcing Pipeline	LinkedIn Profile Dedup & Skeleton Creation	2	BE	Planned
S-130	HRMS-P403	LinkedIn Autonomous Sourcing Pipeline	LinkedIn InMail AI Outreach	2	BE	Planned
S-132	HRMS-P405	LinkedIn Autonomous Sourcing Pipeline	Profile Enrichment Pipeline	2	BE	Planned
S-133	HRMS-P406	LinkedIn Autonomous Sourcing Pipeline	LinkedIn Session & Rate Limit Management	2	BE	Planned
S-136	HRMS-P409	LinkedIn Autonomous Sourcing Pipeline	LinkedIn Profile Quality Scoring	2	BE	Planned
S-142	HRMS-P806	Sub-Vendor Portal	FT-Only Enforcement Engine — Sub-Vendor Gate	2	BE	Planned
S-143	HRMS-P807	Sub-Vendor Portal	Sub-Vendor Candidate Dedup Against Internal DB	2	BE	Planned
S-145	HRMS-P809	Sub-Vendor Portal	Sub-Vendor Candidate — AI Recruiter Onboarding	2	BE	Planned
S-147	HRMS-P811	Sub-Vendor Portal	MERGED — Sub-Vendor Governance Agent (Deadline + Compliance + Notifications)	2	BE	Planned
S-149	HRMS-P813	Sub-Vendor Portal	Sub-Vendor Compliance Violation Tracking	2	BE	RETIRED — merged into S-147
S-151	HRMS-P815	Sub-Vendor Portal	Sub-Vendor Notification Engine	2	BE	RETIRED — merged into S-147
S-152	HRMS-P816	Sub-Vendor Portal	Sub-Vendor Candidate — Source Tagging	2	BE	Planned
S-154	HRMS-P818	Sub-Vendor Portal	Sub-Vendor Candidate — WROS ATS Integration	2	BE	Planned
S-155	HRMS-P901	Boolean Search & AI Search Intelligence	Auto-Generate Boolean Search per Job	2	BE	Planned
S-157	HRMS-P903	Boolean Search & AI Search Intelligence	Boolean Search — Internal DB Search	2	BE	Planned
S-158	HRMS-P904	Boolean Search & AI Search Intelligence	Boolean Search — LinkedIn Integration	2	BE	Planned
S-159	HRMS-P905	Boolean Search & AI Search Intelligence	Boolean Search — Job Board Integration	2	BE	Planned
S-162	HRMS-P908	Boolean Search & AI Search Intelligence	AI Search Refinement Suggestions	2	BE	Planned
S-163	HRMS-P909	Boolean Search & AI Search Intelligence	Multi-Continent Candidate Pool Architecture	2	BE	Planned
S-166	HRMS-P912	Boolean Search & AI Search Intelligence	Boolean Search → AI Recruiter Pipeline	2	BE	Planned
S-175	HRMS-P707	Client Portal — Submission, Timesheet & RFP	Submission Status Real-Time Sync	3	BE	Planned
S-186	HRMS-P718	Client Portal — Submission, Timesheet & RFP	Timesheet Approval SLA Monitoring	3	BE	RETIRED — merged into S-184
S-189	HRMS-P721	Client Portal — Submission, Timesheet & RFP	RFP → WROS Internal Demand Creation Flow	3	BE	RETIRED — merged into S-187
S-192	HRMS-P724	Client Portal — Submission, Timesheet & RFP	RFP AI Auto-Sourcing with Human Handoff	3	BE	Planned
S-194	HRMS-P726	Client Portal — Submission, Timesheet & RFP	Automated Client Notification Engine	3	BE	Planned
S-200	HRMS-0102	Core Platform & Multi-Tenant Foundation	Logout and Session Expiry	1	BE	Done
S-204	HRMS-0106	Core Platform & Multi-Tenant Foundation	Deactivate User	1	BE	RETIRED — merged into S-202
S-207	HRMS-0109	Core Platform & Multi-Tenant Foundation	Multi-Tenant Data Isolation	3	BE	Planned
S-208	HRMS-0110	Core Platform & Multi-Tenant Foundation	Audit Log Base System	3	BE	Planned
S-211	HRMS-0113	Core Platform & Multi-Tenant Foundation	Notification Engine Base	3	BE	Planned
S-212	HRMS-0114	Core Platform & Multi-Tenant Foundation	Permission Middleware Backend	3	BE	Planned
S-213	HRMS-0115	Core Platform & Multi-Tenant Foundation	MERGED — System Configuration & Admin Settings Panel	3	BE	Planned
S-215	HRMS-0117	Core Platform & Multi-Tenant Foundation	Error Logging Framework	3	BE	Planned
S-216	HRMS-0118	Core Platform & Multi-Tenant Foundation	MERGED — Shared Activity Timeline & File Attachment Framework	3	BE	Planned
S-217	HRMS-0119	Core Platform & Multi-Tenant Foundation	File Upload Base System	3	BE	RETIRED — merged into S-216
S-221	HRMS-0902	Time Tracking & Revenue Capture	Timesheet Validation & Submission Lock	3	BE	Planned
S-224	HRMS-0905	Time Tracking & Revenue Capture	Map Timesheet to Project Revenue	3	BE	Planned
S-229	HRMS-0910	Time Tracking & Revenue Capture	AI Time Entry Anomaly Detection	3	BE	Planned
S-238	HRMS-0209	Revenue Visibility Engine	Opportunity Forecast Calculation	3	BE	Planned
S-240	HRMS-0211	Revenue Visibility Engine	Calculate Role Revenue Potential	3	BE	Planned
S-243	HRMS-0214	Revenue Visibility Engine	Revenue Leakage Detection	3	BE	Planned
S-250	HRMS-0506	Resource & Bench Management	Staffing Eligibility Engine	3	BE	Planned
S-252	HRMS-0508	Resource & Bench Management	Allocation Conflict Detection	3	BE	Planned
S-253	HRMS-0509	Resource & Bench Management	Match Bench Resources to Opportunity	3	BE	Planned
S-256	HRMS-0512	Resource & Bench Management	Future Demand vs Bench Forecast	3	BE	Planned
S-258	HRMS-P502	HTD — Hire Train Deploy Model	HTD Candidate Identification Engine	3	BE	Planned
S-259	HRMS-P503	HTD — Hire Train Deploy Model	HTD AI Nurture Sequence — 6 Touch Campaign	3	BE	RETIRED — folded into EPIC-P3 Nurture Engine (S-124 config)
S-260	HRMS-P504	HTD — Hire Train Deploy Model	HTD Qualification Criteria Engine	3	BE	RETIRED — folded into Interview Decision Engine (S-107 config)
S-269	HRMS-0303	Workforce Planning & Demand Forecasting	Generate Demand Plan from Revenue Target	4	BE	Planned
S-271	HRMS-0305	Workforce Planning & Demand Forecasting	Convert Opportunity Pipeline to Demand	4	BE	Planned
S-273	HRMS-0307	Workforce Planning & Demand Forecasting	Trigger Sourcing Workflow on Demand Creation	4	BE	Planned
S-274	HRMS-0308	Workforce Planning & Demand Forecasting	Prioritize Internal Hiring First — Bench First Policy	4	BE	Planned
S-275	HRMS-0309	Workforce Planning & Demand Forecasting	Auto Create Job Requisitions from Demand	4	BE	Planned
S-277	HRMS-0311	Workforce Planning & Demand Forecasting	AI Revenue to Workforce Conversion Model	4	BE	Planned
S-282	HRMS-0602	Adhoc Staffing Demand Engine	AI Classify Incoming Request	4	BE	Planned
S-283	HRMS-0603	Adhoc Staffing Demand Engine	Search Internal Bench First — Instant Match	4	BE	Planned
S-286	HRMS-0606	Adhoc Staffing Demand Engine	Auto Schedule Client Interviews — Rapid Mode	4	BE	Planned
S-287	HRMS-0607	Adhoc Staffing Demand Engine	SLA Breach Prediction & Escalation	4	BE	Planned
S-288	HRMS-0608	Adhoc Staffing Demand Engine	AI Pricing Suggestion for Adhoc Request	4	BE	Planned
S-289	HRMS-0701	Talent Engine (ATS Layer)	Auto Create Job from Workforce Demand	4	BE	Planned
S-291	HRMS-0703	Talent Engine (ATS Layer)	Search Internal Bench Before External	4	BE	Planned
S-292	HRMS-0704	Talent Engine (ATS Layer)	Trigger LinkedIn Sourcing Agent	4	BE	Planned
S-293	HRMS-0705	Talent Engine (ATS Layer)	External Candidate Import & Deduplication	4	BE	Planned
S-296	HRMS-0708	Talent Engine (ATS Layer)	Convert Candidate to Employee on Joining	4	BE	Planned
S-297	HRMS-0709	Talent Engine (ATS Layer)	Close Demand When Candidate Hired	4	BE	Planned
S-298	HRMS-0710	Talent Engine (ATS Layer)	AI Candidate Ranking per Job	4	BE	Planned
S-306	HRMS-1001	AI Intelligence Layer	MERGED — Unified Prediction Engine: Talent Signals (Matching, Win-Prob, Dropout, Bench Utilization)	5	BE	Planned
S-307	HRMS-1002	AI Intelligence Layer	AI Opportunity Win Probability	5	BE	RETIRED — merged into S-306
S-308	HRMS-1003	AI Intelligence Layer	AI Dropout Risk Detection	5	BE	RETIRED — merged into S-306
S-309	HRMS-1004	AI Intelligence Layer	MERGED — Unified Prediction Engine: Financial Signals (Revenue Forecast, Delay, Margin)	5	BE	Planned
S-310	HRMS-1005	AI Intelligence Layer	AI Project Delay Prediction	5	BE	RETIRED — merged into S-309
S-311	HRMS-1006	AI Intelligence Layer	AI Margin Prediction per Opportunity	5	BE	RETIRED — merged into S-309
S-313	HRMS-1008	AI Intelligence Layer	Auto Generate Job Description from Demand	5	BE	RETIRED — folded into Auto Create Job from Demand (S-289)
S-314	HRMS-1009	AI Intelligence Layer	AI Bench Utilization Prediction	5	BE	RETIRED — merged into S-306
S-316	HRMS-1101	Agentic Operations Layer	System Orchestration Master Agent	5	BE	Planned
S-317	HRMS-1102	Agentic Operations Layer	Workforce Demand Monitoring Agent	5	BE	Planned
S-318	HRMS-1103	Agentic Operations Layer	LinkedIn Sourcing Agent Loop	5	BE	Planned
S-319	HRMS-1104	Agentic Operations Layer	Automated Outreach Agent	5	BE	Planned
S-320	HRMS-1105	Agentic Operations Layer	Resource Management Agent — Bench Optimization	5	BE	In Progress
S-321	HRMS-1106	Agentic Operations Layer	Revenue Monitoring Agent	5	BE	Planned
S-322	HRMS-1107	Agentic Operations Layer	Project Health Monitoring Agent	5	BE	Planned
S-323	HRMS-1108	Agentic Operations Layer	Integration Health Agent — Self-Heal	5	BE	Planned
S-324	HRMS-1109	Agentic Operations Layer	Learning Optimization Agent	5	BE	Planned
S-325	HRMS-1110	Agentic Operations Layer	Daily System Activity Report	5	BE	Planned
S-336	HRMS-1301	Integration Hub	LinkedIn Recruiter Search Automation	5	BE	RETIRED — duplicate of S-128 (EPIC-P4) + S-318 (EPIC-11)
S-337	HRMS-1302	Integration Hub	LinkedIn InMail Automation	5	BE	RETIRED — duplicate of S-130 (EPIC-P4 LinkedIn InMail)
S-338	HRMS-1303	Integration Hub	Post Jobs to Free Job Boards	5	BE	Planned
S-339	HRMS-1304	Integration Hub	WhatsApp Business API — Enhancement	5	BE	Done
S-340	HRMS-1305	Integration Hub	Email Outreach Automation & Threading	5	BE	Done
S-341	HRMS-1306	Integration Hub	Outlook Calendar Integration — Enhancement	5	BE	Done
S-342	HRMS-1307	Integration Hub	Import from Greenhouse / Lever	5	BE	Planned
S-343	HRMS-1308	Integration Hub	Payroll System Sync	5	BE	Planned
S-344	HRMS-1309	Integration Hub	Invoice Export to ERP	5	BE	Planned
S-345	HRMS-1310	Integration Hub	Webhook Engine & Integration Health Dashboard	5	BE	Planned
S-347	HRMS-P117	Desire Intelligence System	Candidate Desire Intelligence Engine	Future State	Backend — AI Squad	NEW — Ready for Build
S-348	HRMS-P118	Desire Intelligence System	Desire Profile Builder	Future State	Backend — AI Squad	NEW — Ready for Build
S-349	HRMS-P119	Desire Intelligence System	Proactive Motivation Engine	Future State	Backend — AI Squad	NEW — Ready for Build
S-350	HRMS-P120	Desire Intelligence System	HR Intelligence Briefing	Future State	Backend — AI Squad	NEW — Ready for Build
S-351	HRMS-0535	Delivery Engine & Performance Intelligence	Delivery Engine Assignment — Speciality vs Core	Gap Epic	Backend	Ready for Build
S-353	HRMS-0514	Delivery Engine & Performance Intelligence	Core-Pull Conflict Rule Engine — Core Wins Policy	Gap Epic	Backend	In Progress
S-354	HRMS-0515	Delivery Engine & Performance Intelligence	Employee Performance Intelligence Store	Gap Epic	Backend — AI Squad	Ready for Build
S-355	HRMS-0516	Delivery Engine & Performance Intelligence	Reporting Manager Weekly Input Bot	Gap Epic	Backend — Agentic Squad	Ready for Build
S-357	HRMS-0518	Delivery Engine & Performance Intelligence	Core Eligibility AI Assessment — Agentic Bot	Gap Epic	Backend — AI Squad	Ready for Build
S-359	HRMS-P511	Delivery Engine & Performance Intelligence	HTD Intake Pause Engine — Conversion Rate Breach	Gap Epic	Backend — Agentic Squad	Ready for Build
S-360	HRMS-P506-REV	Revised Existing Documents	HTD Training Module Tracker — 4-Phase Gate Structure (REVISED)	Gap Epic	Backend	UPDATE — Revise Existing Doc
S-361	HRMS-P507-REV	Revised Existing Documents	HTD Training Failure Workflow — 50% Breach Trigger (REVISED)	Gap Epic	Backend	UPDATE — Revise Existing Doc
S-363	HRMS-0101-REV	Revised Existing Documents	Employee Entity Model — Delivery Engine Fields (REVISED)	Gap Epic	Backend — DBA	UPDATE — Revise Existing Doc
S-366	HRMS-0522	Delivery Engine & Performance Intelligence	Specialty Deployment 90-Day Certification Clock	Gap Epic	Backend	Ready for Build
S-367	HRMS-0523	Delivery Engine & Performance Intelligence	Escalation Classification Engine — Resource vs Environment	Gap Epic	Backend	Ready for Build
S-368	HRMS-0524	Delivery Engine & Performance Intelligence	Peer Trust Pulse Survey — Week 6 and Week 12	Gap Epic	Backend	Ready for Build
S-370	HRMS-0526	Delivery Engine & Performance Intelligence	HTD 365-Day Specialty Certification Track	Gap Epic	Backend	Ready for Build
S-371	HRMS-0527	Delivery Engine & Performance Intelligence	Curtis Rule — Partner Intent ML Engine	Gap Epic	Backend — AI Squad	Ready for Build
S-373	HRMS-0529	Delivery Engine & Performance Intelligence	Specialty Pool Minimum 40 Core-Certified Guard	Gap Epic	Backend	In Progress
S-376	HRMS-0532	Delivery Engine & Performance Intelligence	Predictive Demand ML Engine	Gap Epic	Backend — AI Squad	Ready for Build
S-377	HRMS-0533	Delivery Engine & Performance Intelligence	Interviewer Quality Scoring — Client Pass Rate	Gap Epic	Backend	Ready for Build
S-382	HRMS-1404	Role-Based Check-In Scheduler	Dynamic Reporting Hierarchy Engine	Gap Epic	Backend	Ready for Build
S-384	HRMS-1406	Role-Based Check-In Scheduler	Auto-Scheduler & Calendar Booking Agent	Gap Epic	Backend — Agentic Platform Squad	Ready for Build
S-385	HRMS-1501	Interview Integrity Layer	Interview Integrity Analysis Engine	Gap Epic	Backend — AI Squad	Ready for Build
S-387	HRMS-1601	Finance & Accounting Operations	Timesheet Submission Nag Agent	Gap Epic	Backend — Agentic Platform Squad	Ready for Build
S-388	HRMS-1602	Finance & Accounting Operations	Monthly Invoice Generation Cycle (2nd-of-Month)	Gap Epic	Backend	Ready for Build
S-390	HRMS-1604	Finance & Accounting Operations	Accounts Receivable Follow-Up Agent	Gap Epic	Backend — Agentic Platform Squad	Ready for Build
S-393	HRMS-1608	Finance & Accounting Operations	Fully Loaded Cost Calculation Engine	Gap Epic	Backend	Ready for Build
S-394	HRMS-1609	Finance & Accounting Operations	RM Burden Allocation Engine	Gap Epic	Backend	Ready for Build
S-395	HRMS-1610	Finance & Accounting Operations	Minimum Bill Rate Engine	Gap Epic	Backend	Ready for Build
S-396	HRMS-1607	Finance & Accounting Operations	BXIN/BXUS Separate P&L Engine	Gap Epic	Backend	Ready for Build
S-399	HRMS-1611	Finance & Accounting Operations	Partner Incentive Calculator	Gap Epic	Backend	Ready for Build
S-401	HRMS-1615	Finance & Accounting Operations	GST & Statutory Compliance (UAT-Gated Placeholder)	Gap Epic	Backend + Finance/CA Review Required	BLOCKED — Awaiting Finance/CA Requirements Review
